Nama Bagian;n;b;h;a;Z;mapped_index;Structure element;μ (a) [mm/years];CoV (a);index;b_t0;h_t0;b_t10;h_t10;b_t20;h_t20;b_t30;h_t30
Long Stiff Bottom 1 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 1 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 2 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 2 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 3 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 3 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 4 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 4 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 5 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 5 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 6 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 6 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 7 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 7 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 8 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 8 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 9 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 9 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 10 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 10 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 11 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 11 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 12 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 12 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 13 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 13 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 14 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 14 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 15 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 15 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 16 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 16 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 17 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 17 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 18 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 18 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Bottom 19 Web;2;0.9;15.0;0;7.5;SBW;Outer bottom stiffener's web;0.1367;0.7802;SBW;0.9;15.0;0.7633000000000001;14.8633;0.6266;14.7266;0.48990000000000006;14.5899
Long Stiff Bottom 19 Frame;2;8.1;0.9;0;0.45;SBF;Outer bottom stiffener's flange;0.1127;1.0121;SBF;8.1;0.9;7.987299999999999;0.7873;7.8746;0.6746000000000001;7.7619;0.5619000000000001
Long Stiff Deck 1 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 1 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 2 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 2 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 3 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 3 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 4 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 4 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 5 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 5 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 6 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 6 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 7 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 7 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 8 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 8 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 9 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 9 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 10 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 10 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 11 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 11 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 12 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 12 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 13 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 13 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 14 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 14 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 15 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
